dataset,source,title,author,url,text,word_count
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Opposite the inner side of every tower the wall should be interrupted for a space the width of the tower, and have only a wooden flooring across, leading to the interior of the tower but not firmly nailed. This is to be cut away by the defenders in case the enemy gets possession of any portion of the wall; and if the work is quickly done, the enemy will not be able to make his way to the other towers and the rest of the wall unless he is ready to face a fall.",94
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"The system of fortification by wall and towers may be made safest by the addition of earthen ramparts, for neither rams, nor mining, nor other engineering devices can do them any harm. [Illustration: CONSTRUCTION OF CITY WALLS (From the edition of Vitruvius by Fra Giocondo, Venice, 1511)] 6.",48
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"The rampart form of defence, however, is not required in all places, but only where outside the wall there is high ground from which an assault on the fortifications may be made over a level space lying between. In places of this kind we must first make very wide, deep ditches; next sink foundations for a wall in the bed of the ditch and build them thick enough to support an earth-work with ease.",74
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Then within this substructure lay a second foundation, far enough inside the first to leave ample room for cohorts in line of battle to take position on the broad top of the rampart for its defence. Having laid these two foundations at this distance from one another, build cross walls between them, uniting the outer and inner foundation, in a comb-like arrangement, set like the teeth of a saw.",69
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"With this form of construction, the enormous burden of earth will be distributed into small bodies, and will not lie with all its weight in one crushing mass so as to thrust out the substructures. With regard to the material of which the actual wall should be constructed or finished, there can be no definite prescription, because we cannot obtain in all places the supplies that we desire.",68
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Dimension stone, flint, rubble, burnt or unburnt brick,--use them as you find them. For it is not every neighbourhood or particular locality that can have a wall built of burnt brick like that at Babylon, where there was plenty of asphalt to take the place of lime and sand, and yet possibly each may be provided with materials of equal usefulness so that out of them a faultless wall may be built to last forever.",75
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"CHAPTER VI THE DIRECTIONS OF THE STREETS; WITH REMARKS ON THE WINDS 1. The town being fortified, the next step is the apportionment of house lots within the wall and the laying out of streets and alleys with regard to climatic conditions.",42
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"In that community when the wind is south, the people fall ill; when it is northwest, it sets them coughing; with a north wind they do indeed recover but cannot stand about in the alleys and streets, owing to the severe cold. Thus from this slight and very short experiment we may understand and judge of the mighty and wonderful laws of the heavens and the nature of winds.",69
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"By shutting out the winds from our dwellings, therefore, we shall not only make the place healthful for people who are well, but also in the case of diseases due perhaps to unfavourable situations elsewhere, the patients, who in other healthy places might be cured by a different form of treatment, will here be more quickly cured by the mildness that comes from the shutting out of the winds. The diseases which are hard to cure in neighbourhoods such as those to which I have referred above are catarrh, hoarseness, coughs, pleurisy, consumption, spitting of blood, and all others that are cured not by lowering the system but by building it up.",112
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"In the middle of the city place a marble amussium, laying it true by the level, or else let the spot be made so true by means of rule and level that no amussium is necessary. The rest of the entire circumference is then to be divided into three equal parts on each side, and thus we have designed a figure equally apportioned among the eight winds.",67
